Brand Name,Model Name,Form Factor,Product Processor Socket Count,Available Expansion Slots,Available DIMM Slots,Maximum Memory Capacity (GB),Maximum Number Blade Slots,Installed Processors for Low-end Performance Configuration,Installed Processors for Typical or Single Configuration,Installed Processors for High-end Performance Configuration,Cores Per Processor Low-end Performance Configuration,Cores Per Processor Typical or Single Configuration,Cores Per Processor High-end Performance Configuration,Number of Threads for Low-end Performance Configuration,Number of Threads for Typical or Single Configuration,Number of Threads for High-end Performance Configuration,Processor Brand Typical or Single Configuration,Processor Speed for Low-end Performance Configuration (GHz),Processor Speed for Typical or Single Configuration (GHz),Processor Speed for High-end Performance Configuration (GHz),Num. of DDR Channels for Low-end Performance Configuration,Num. of DDR Channels for Typical or Single Configuration,Num. of DDR Channels for High-end Performance Configuration,Memory Speed Low-end Performance Configuration (GHz),Memory Speed Typical or Single Configuration (GHz),Memory Speed High-end Performance Configuration (GHz),Installed Num. DIMMs for Low-end Performance Configuration,Installed Num. DIMMs for Typical or Single Configuration,Installed Num. DIMMs for High-end Performance Configuration,Installed Memory for Low-end Performance Configuration (GB),Installed Memory for Typical or Single Configuration (GB),Installed Memory for High-end Performance Configuration (GB),Num. Solid State Drives (SSDs) Low-end Performance Configuration,Num. Solid State Drives (SSDs) Typical or Single Configuration,Num. Solid State Drives (SSDs) High-end Performance Configuration,Number Rotational Drives Low-end Performance Configuration,Number Rotational Drives Typical or Single Configuration,Number Rotational Drives High-end Performance Configuration,Power Supply Rated Output Low-end Performance Configuration (W),Power Supply Rated Output Typical or Single Configuration (W),Power Supply Rated Output High-end Performance Configuration (W),Num. Power Supplies for Low-end Performance Configuration,Num. Power Supplies for Typical or Single Configuration,Num. Power Supplies for High-end Performance Configuration,Number of PSU for Redundancy Low-end Performance Configuration,Number of PSU for Redundancy Typical or Single Configuration,Number of PSU for Redundancy High-end Performance Configuration,SERT Compress Eff. Score for Low-end Performance Configuration,SERT Compress Eff. Score for Typical or Single Configuration,SERT Compress Eff. Score for High-end Performance Configuration,SERT CryptoAES Efficiency Score Low-end Performance Configuration,SERT CryptoAES Efficiency Score Typical or Single Configuration,SERT CryptoAES Efficiency Score High-end Performance Configuration,SERT LU Efficiency Score Low-end Performance Configuration,SERT LU Efficiency Score Typical or Single Configuration,SERT LU Efficiency Score High-end Performance Configuration,SERT SOR Efficiency Score Low-end Performance Configuration,SERT SOR Efficiency Score Typical or Single Configuration,SERT SOR Efficiency Score High-end Performance Configuration,SERT SORT Efficiency Score Low-end Performance Configuration,SERT SORT Efficiency Score Typical or Single Configuration,SERT SORT Efficiency Score High-end Performance Configuration,SERT SHA256 Efficiency Score Low-end Performance Configuration,SERT SHA256 Efficiency Score Typical or Single Configuration,SERT SHA256 Efficiency Score High-end Performance Configuration,SERT Flood Efficiency Score Low-end Performance Configuration,SERT Flood Efficiency Score Typical or Single Configuration,SERT Flood Efficiency Score High-end Performance Configuration,SERT Capacity Efficiency Score Low-end Performance Configuration,SERT Capacity Efficiency Score Typical or Single Configuration,SERT Capacity Efficiency Score High-end Performance Configuration,SERT Sequential Efficiency Score Low-end Performance Configuration,SERT Sequential Efficiency Score Typical or Single Configuration,SERT Sequential Efficiency Score High-end Performance Configuration,SERT Random Efficiency Score Low-end Performance Configuration,SERT Random Efficiency Score Typical or Single Configuration,SERT Random Efficiency Score High-end Performance Configuration,SERT SSJ Efficiency Score Low-end Performance Configuration,SERT SSJ Efficiency Score Typical or Single Configuration,SERT SSJ Efficiency Score High-end Performance Configuration,SERT Idle Measurement (Watts) Low-end Performance Configuration,SERT Active State Efficiency Score Low-end Performance Configuration,SERT Total Server Normalized Performance Score Low-end Performance Configuration,SERT Total Server Power Score  (Watts) Low-end Performance Configuration,SERT Idle Measurement (Watts) Typical or Single Configuration,SERT Active State Efficiency Score Typical or Single Configuration,SERT Total Server Normalized Performance Score Typical or Single Configuration,SERT Total Server Power Score (Watts) Typical or Single Configuration,SERT Idle Measurement (Watts) High-end Performance Configuration,SERT Active State Efficiency Score High-end Performance Configuration,SERT Total Server Normalized Performance Score High-end Performance Configuration,SERT Total Server Power Score (Watts) High-end Performance Configuration,Tested Num. Blade Slots Low-end Performance Configuration,Tested Num. Blade Slots Typical or Single Configuration,Tested Num. Blade Slots High-end Performance Configuration
CISCO,UCSC-C220-M5SX,Rack-mount,2,2,24,3000,,2,2,2,6,8,28,12,16,56,Intel,1.7,1.8,2.7,24,24,24,2.63,2.93,2.93,12,3,24,187.5,31.9,3000,2,2,2,0,0,0,770,1050,1600,2,2,2,2,,2,7.27,17.13,17.18,9.45,24.02,22.99,8.4,24.03,24.14,,13.36,14.58,4.42,14.32,15.2,8.16,21.82,21.74,6.23,11.64,1.05,12.47,118.31,16.26,30.62,21.09,15.9,346.64,215.03,202.86,6.83,14.17,15.16,130.6,13.6,3.74,160.05,148.4,29.75,22.45,416.14,217,30.8,23.14,559.03,,,
CISCO,UCSC-C220-M6N,Rack-mount,2,4,8,8000,,2,1,1,8,32,40,8,16,40,Intel,2.8,3.1,2.3,32,32,32,3.2,3.2,3.2,8,8,8,123,125,250,2,2,2,0,0,0,770,770,770,2,2,2,2,2,2,9.53,14.72,21.73,15.41,18.55,25.77,14.71,20.42,32.49,,12.2,20.1,7.92,10.45,17.01,102.54,138.12,212.95,8.13,5.71,4.56,11.81,12.62,20.03,36.91,29.16,27.64,556.55,451.79,322.5,9.38,13.24,19.57,104.7,22.4,,,119.1,26.01,26,119.1,105.3,39.13,,,,,
CISCO,UCSC-C220-M6N,Rack-mount,2,4,16,8000,,2,2,2,8,16,40,16,32,80,Intel,2.8,3.1,2.3,32,32,32,3.2,3.2,3.2,16,16,16,250,250,500,2,2,2,0,0,0,770,770,770,2,2,2,2,2,2,12.71,15.43,24.03,18.88,20.58,26.42,16.69,23.08,36.63,,13.91,22.32,9.03,12.05,19.19,111.65,152.01,252.02,5.1,4.43,3.67,11.75,13.79,20.09,21.57,16.44,18.08,326.16,251.12,196.82,10.49,14.05,21.13,169.3,25.05,,,207.1,29.22,29.2,207.1,181.8,43.93,,,,,
CISCO,UCSC-C225-M6N,Rack-mount,2,4,8,8000,,1,1,1,32,32,64,64,32,65,AMD,3.7,2.8,2.45,32,32,32,3.2,3.2,3.2,8,8,8,126,125,250,2,2,2,0,0,0,770,770,770,2,2,2,2,2,2,10.26,21.91,28.2,14.21,23.23,26.53,14.95,37.06,49.11,,26.02,38.28,8.06,21.59,32,143.8,369.68,593,7.21,6.06,4.14,11.69,15.41,19.4,38.44,41.6,39.32,563.74,612.89,577.51,11.27,22.88,30.28,82.7,23.31,,,86.1,40.73,40.7,86.1,85.8,54.07,,,,,
CISCO,UCSC-C225-M6N,Rack-mount,2,4,16,8000,,2,2,2,16,32,64,32,64,128,AMD,3.7,2.8,2.45,32,32,32,3.2,3.2,3.2,16,16,16,250,250,500,2,2,2,0,0,0,770,770,770,2,2,2,2,2,2,11.43,25.95,32.88,13.71,27.99,30.81,18.2,45.01,58.59,,31.88,45.3,9.84,26.11,37.07,164.6,448.57,681.33,3.08,4.5,3.25,7.69,16.52,20.77,15.32,24.42,21.47,315.92,372.59,345.48,12.31,26.21,34.26,117.7,22.37,,,126.8,47.93,47.9,126.8,129.2,62.73,,,,,
CISCO,UCSC-C240-M5SX,Rack-mount,2,3,24,3000,,2,2,2,8,20,28,16,40,56,Intel,1.8,2.5,2.7,24,12,24,2.63,2.93,2.93,12,12,24,187.5,384,3000,2,8,2,0,0,0,770,1050,1600,2,2,2,2,,2,8.49,15.95,16.52,14.77,21.88,20.23,11.62,21.5,22.5,,12.18,13.41,7.03,13.12,13.85,10.36,19.81,21.28,5.36,3.09,0.96,22,32.26,16.91,28.77,19.89,14.62,317.77,243.86,147.07,8.87,13.18,13.85,115,17.8,6.81,237.38,154.2,27.6,17.81,439.07,224.8,28.8,17.91,581.23,,,
CISCO,UCSC-C240-M6L,Rack-mount,2,8,8,8000,,1,1,1,8,16,40,8,16,40,Intel,2.8,3.1,2.3,32,32,32,3.2,3.2,3.2,8,16,8,125,250,250,2,2,2,0,0,0,770,770,770,2,2,2,2,2,2,7.93,11.5,18.5,12.54,15.69,18,10.69,16.03,28.32,,8.83,16.19,5.25,8.05,13.67,62.45,99.19,173.73,7.47,3.72,3.64,10.46,8.94,16.66,35.66,25.09,28.54,435.53,271.12,209.92,7.73,10.2,15.13,106.2,17.62,,,140.6,21.34,21.3,140.6,124.8,31.54,,,,,
CISCO,UCSC-C240-M6L,Rack-mount,2,8,16,8000,,2,2,2,16,40,40,16,80,80,Intel,2.8,3.1,2.3,32,32,32,3.2,3.2,3.2,16,16,16,250,250,500,2,2,2,0,0,0,1050,1050,1050,2,2,2,2,2,2,9.91,14.16,20.29,16.39,18.29,23,13.99,20.32,32.43,,11.02,18.44,7.06,9.9,16.38,88.19,123.52,207.95,5.21,4.31,3.23,11.71,13.74,18.52,23.25,16.79,15.54,262.18,211.06,170.88,9.25,12.65,18.06,161.3,22.07,,,184.8,26.22,26.2,184.8,196.4,38.06,,,,,
Ace Computers,Ace Power Works Half Chassis Blade Server,Blade - Half Chassis,2,1,8,2000,20,1,1,1,8,16,18,32,64,72,Intel,3.2,3,3,8,8,8,3200,3200,3200,8,8,8,256,256,256,1,1,1,0,0,0,2200,2200,2200,8,8,8,8,8,8,9.61,14.24,14.75,16.92,24.07,24.55,13.92,20.68,21.94,,12.25,13.37,6.8,10.42,11.26,84.54,129.51,140.16,6.02,6.41,5.65,14.79,22.55,23.81,39.34,36.05,34.11,172.16,157.39,148.5,8.94,13.46,14.66,1159.8,25.23,75.66,2094.09,1207.4,32.38,121.5,2546.77,1190.8,33.11,134.96,2752.25,10,10,10
Ace Computers,Ace Power Works Half Chassis Blade Server,Blade - Half Chassis,2,1,16,4000,20,2,2,2,8,16,18,32,64,72,Intel,3.2,3,3,8,8,8,3200,3200,3200,16,16,16,512,512,512,2,2,2,0,0,0,2200,2200,2200,8,8,8,8,8,8,10.19,14.33,15.27,17.27,23.51,24.71,15.14,21.46,23.18,,12.95,14.22,7.41,10.88,11.99,91.99,135.41,149.57,3.75,4.5,4.15,15.6,22.44,24,145.2,127.75,120.61,880.54,757.46,732.17,9.7,14.01,15.37,1875,41.3,193.67,3829.09,1988,50.9,308.57,4736.17,1975.7,52.9,348.19,5081.46,10,10,10
