Server Index,Brand Name,Model Name,Product Carbon Footprint (lbCO2e),Use Emissions,Embodied Emissions,Total Emissions
18,CISCO,UCSB-B480-M5,Not Available,0,0,0
25,DELL,E41S / R940,3232.9,89.6,10.4,100
32,DELL EMC,E03B / FC830,4034.2,79.6,20.4,100
47,DELL EMC,E05B / MX840c,Not Available,0,0,0
57,CISCO,UCSC-C480-M5,Not Available,0,0,0
61,DELL EMC,E49S / R840,3473.6,89.9,10.1,100
62,DELL EMC,E54S / R940xa,1862.5,93.6,6.4,100
97,Fujitsu,PRIMERGY RX4770 M5 E-Star Fam4,Not Available,0,0,0
104,Hewlett Packard Enterprise,DL580 Gen10,1323.7,96.2,3.8,100
121,Fujitsu,PRIMERGY RX4770 M6 E-Star Fam4,Not Available,0,0,0
128,Hewlett Packard Enterprise,HPE Superdome Flex 280 Server 4P,Not Available,0,0,0
131,Hewlett Packard Enterprise,HPE Synergy 660 Gen10 Compute Module,2414.1,95,5,100
149,Hewlett Packard Enterprise,HPE Proliant DL560 Gen 10,Not Available,0,0,0
177,Inspur,NF8260M5,Not Available,0,0,0
178,Inspur,NF8260M6,Not Available,0,0,0
179,Inspur,NF8480M5,Not Available,0,0,0
180,Inspur,NF8480M6,Not Available,0,0,0
191,IBM,Power Systems E950,Not Available,0,0,0
192,IBM,IBM Power E1050,73300,69.3,30.7,100
198,HPE Proliant DL560 Gen 10,HPE Proliant DL560 Gen 10,Not Available,0,0,0
201,Lenovo,Lenovo ThinkSystem SR850P Server,19211.1,83.3,16.7,100
204,Lenovo,Lenovo ThinkSystem SR850 V2,20352.4,81,19,100
213,Lenovo,Lenovo ThinkSystem SR950 Server (Xeon SP Gen2),4523.9,81,19,100
214,Lenovo,ThinkSystem SN850,13310.4,88.5,11.5,100
224,Inspur,SA8212H6,Not Available,0,0,0
234,Lenovo,Lenovo ThinkSystem SR860 V2,14093.7,86.9,13.1,100
258,Lenovo,ThinkSystem SR850,22532.1,83.3,16.7,100
261,Lenovo,ThinkSystem SR860,Not Available,0,0,0
